nombre_panel,Irradiancia,Temperatura,Voc,Isc,Ns,alpha_Isc,beta_Voc,Rs,Rsh,Vmpp,Impp,Pmax
panel_HansolTechnicsCo__LtdHS238SB_A06,400,15,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,29.280140070035017,3.08363569073086,90.28928494955876
panel_HansolTechnicsCo__LtdHS238SB_A06,400,20,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,29.804002001000498,3.0897540774497534,92.0870367069119
panel_HansolTechnicsCo__LtdHS238SB_A06,400,25,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,30.327863931965982,3.0958716952893455,93.89117552556012
panel_HansolTechnicsCo__LtdHS238SB_A06,400,30,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,30.851725862931463,3.101988581213503,95.70170133754272
panel_HansolTechnicsCo__LtdHS238SB_A06,400,35,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,31.375587793896948,3.1081047698544224,97.51861407919729
panel_HansolTechnicsCo__LtdHS238SB_A06,400,40,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,31.89944972486243,3.1142202936936,99.34191369082531
panel_HansolTechnicsCo__LtdHS238SB_A06,400,45,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,32.423311655827916,3.120335183226206,101.17160011638819
panel_HansolTechnicsCo__LtdHS238SB_A06,400,50,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,32.9471735867934,3.1264494671106196,103.0076733032313
panel_HansolTechnicsCo__LtdHS238SB_A06,400,55,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,33.47103551775888,3.1325631723046468,104.85013320183225
panel_HansolTechnicsCo__LtdHS238SB_A06,500,10,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,28.83111555777889,3.8754517608225174,111.73359755487168
panel_HansolTechnicsCo__LtdHS238SB_A06,500,15,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,29.37368684342171,3.8819062561414377,114.02589872341817
panel_HansolTechnicsCo__LtdHS238SB_A06,500,20,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,29.897548774387193,3.8908465670366015,116.32677501163376
panel_HansolTechnicsCo__LtdHS238SB_A06,500,25,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,30.421410705352674,3.8997607798992884,118.6362243379427
panel_HansolTechnicsCo__LtdHS238SB_A06,500,30,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,30.963981990995496,3.9062965608905262,120.95449636290189
panel_HansolTechnicsCo__LtdHS238SB_A06,500,35,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,31.48784392196098,3.9152054195658077,123.2813771737039
panel_HansolTechnicsCo__LtdHS238SB_A06,500,40,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,32.01170585292646,3.9240904327880357,125.6168286746935
panel_HansolTechnicsCo__LtdHS238SB_A06,500,45,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,32.55427713856928,3.930699945673606,127.9610953800178
panel_HansolTechnicsCo__LtdHS238SB_A06,500,50,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,33.078139069534764,3.939579920804752,130.31397249592635
panel_HansolTechnicsCo__LtdHS238SB_A06,500,55,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,33.60200100050025,3.948438023922791,132.67541843026686
panel_HansolTechnicsCo__LtdHS238SB_A06,600,10,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,28.868534267133565,4.668889436070799,134.78399467466778
panel_HansolTechnicsCo__LtdHS238SB_A06,600,15,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,29.39239619809905,4.680806964287468,137.58013282115854
panel_HansolTechnicsCo__LtdHS238SB_A06,600,20,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,29.93496748374187,4.6897351155828595,140.38706819233533
panel_HansolTechnicsCo__LtdHS238SB_A06,600,25,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,30.458829414707353,4.7015954609785195,143.2050941229071
panel_HansolTechnicsCo__LtdHS238SB_A06,600,30,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,31.001400700350175,4.710562127490747,146.03402403823466
panel_HansolTechnicsCo__LtdHS238SB_A06,600,35,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,31.525262631315655,4.722369203581547,148.8739293849452
panel_HansolTechnicsCo__LtdHS238SB_A06,600,40,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,32.06783391695848,4.731372199360297,151.72485788840055
panel_HansolTechnicsCo__LtdHS238SB_A06,600,45,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,32.59169584792396,4.743129533958173,154.5866351380701
panel_HansolTechnicsCo__LtdHS238SB_A06,600,50,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,33.13426713356678,4.752166852146017,157.45956594228727
panel_HansolTechnicsCo__LtdHS238SB_A06,600,55,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,33.6768384192096,4.761233451704289,160.34328962918093
panel_HansolTechnicsCo__LtdHS238SB_A06,700,10,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,28.83111555777889,5.4665242822610915,157.60599328127384
panel_HansolTechnicsCo__LtdHS238SB_A06,700,15,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,29.37368684342171,5.477961689169371,160.90793119792252
panel_HansolTechnicsCo__LtdHS238SB_A06,700,20,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,29.91625812906453,5.489425597381946,164.22307315157258
panel_HansolTechnicsCo__LtdHS238SB_A06,700,25,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,30.458829414707353,5.500914861031732,167.55142737699413
panel_HansolTechnicsCo__LtdHS238SB_A06,700,30,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,30.982691345672837,5.515766327902542,170.89328567225974
panel_HansolTechnicsCo__LtdHS238SB_A06,700,35,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,31.525262631315655,5.5272622182396285,174.24839306215264
panel_HansolTechnicsCo__LtdHS238SB_A06,700,40,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,32.06783391695848,5.53878140590762,177.6167222269833
panel_HansolTechnicsCo__LtdHS238SB_A06,700,45,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,32.6104052026013,5.550322943982148,180.99828020855279
panel_HansolTechnicsCo__LtdHS238SB_A06,700,50,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,33.13426713356678,5.565034724403127,184.39334716594837
panel_HansolTechnicsCo__LtdHS238SB_A06,700,55,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,33.6768384192096,5.576582035888584,187.80165215408675
panel_HansolTechnicsCo__LtdHS238SB_A06,800,10,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,28.79369684842421,6.257262031252005,180.16970602902535
panel_HansolTechnicsCo__LtdHS238SB_A06,800,15,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,29.317558779389692,6.275378510313012,183.97877833902066
panel_HansolTechnicsCo__LtdHS238SB_A06,800,20,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,29.860130065032514,6.289440383123845,187.80350787634592
panel_HansolTechnicsCo__LtdHS238SB_A06,800,25,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,30.402701350675336,6.303514204809862,191.64385982857397
panel_HansolTechnicsCo__LtdHS238SB_A06,800,30,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,30.94527263631816,6.317599441545655,195.49983712568164
panel_HansolTechnicsCo__LtdHS238SB_A06,800,35,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,31.48784392196098,6.3316955909021715,199.37144252769608
panel_HansolTechnicsCo__LtdHS238SB_A06,800,40,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,32.0304152076038,6.345802179567451,203.2586786368626
